Node1,RelationType,Node2
7A101,ControlledBy,7A001
7A102,ControlledBy,7A002
7A103,ControlledBy,7A003
7A104,ControlledBy,7A004
7A106,ControlledBy,7A006
7A116.a,ControlledBy,9A610.a
7A116.a,ControlledBy,VIII.a
7B001,ControlledBy,7A994
7B101,ControlledBy,2B119
7B101,ControlledBy,2B122
7B101,ControlledBy,7B003
7B101,ControlledBy,7B102
7B101,ControlledBy,7A001
7B101,ControlledBy,7A004
7B101,ControlledBy,7A101
7B101,ControlledBy,7A104
7B102,ControlledBy,7B002
7B103,ControlledBy,7A117
7D003.a,ControlledBy,7A003
7D003.a,ControlledBy,7A004
7D003.a,ControlledBy,7A008
7D003.b,ControlledBy,7A003
7D003.b,ControlledBy,7A008
7D102.b,ControlledBy,7A003
7D102.b,ControlledBy,7A103.a
7D103,ControlledBy,7A117
7D611,ControlledBy,7A611
7D611,ControlledBy,7B611
7D611.a,ControlledBy,7A611
7D611.a,ControlledBy,7A611.y
7D611.a,ControlledBy,7B611
7E002,ControlledBy,7A994
7E002,ControlledBy,7B994
7E003,ControlledBy,7A001
7E003,ControlledBy,7A004
7E101,ControlledBy,7A001
7E101,ControlledBy,7A002
7E101,ControlledBy,7A003
7E101,ControlledBy,7A004
7E101,ControlledBy,7A005
7E101,ControlledBy,7A006
7E101,ControlledBy,7A101
7E101,ControlledBy,7A102
7E101,ControlledBy,7A103
7E101,ControlledBy,7A104
7E101,ControlledBy,7A105
7E101,ControlledBy,7A106
7E101,ControlledBy,7A107
7E101,ControlledBy,7A115
7E101,ControlledBy,7A117
7E101,ControlledBy,7B001
7E101,ControlledBy,7B002
7E101,ControlledBy,7B003
7E101,ControlledBy,7B101
7E101,ControlledBy,7B102
7E101,ControlledBy,7B103
7E101,ControlledBy,7D101
7E101,ControlledBy,7D103
7E611,ControlledBy,7A611
7E611,ControlledBy,7B611
7E611,ControlledBy,7D611
7E611.a,ControlledBy,7A611
7E611.a,ControlledBy,7A611.y
7E611.a,ControlledBy,7B611
7E611.a,ControlledBy,7D611
7E611.a,ControlledBy,7D611.y
7E611.y,ControlledBy,7A611.y
7E611.y,ControlledBy,7D611.y
